A00.0,Cholera wywołana przecinkowcem klasycznym Vibrio cholerae 01, biotyp cholerae
A00.1,Cholera wywołana przecinkowcem Vibrio cholerae 01, biotyp El-Tor
A00.9,Cholera, nieokreślona
A01.0,Dur brzuszny
A66.2,Inne malinicze wczesne objawy skórne
A66.3,Nadmierne rogowacenie malinicze
A66.4,Malinicze guzy, kilaki i owrzodzenia
A66.5,Gangoza
A66.6,Zmiany malinicze w kościach i stawach
A66.7,Inne objawy malinicy
A66.8,Malinica utajona
A66.9,Malinica, nieokreślona
A67.0,Pierwotne zmiany pinty
A67.1,Zmiany pośrednie pinty
A67.2,Zmiany późne pinty
A67.3,Zmiany mieszane pinty
A67.9,Pinta, nieokreślona
A68.0,Gorączka powrotna przenoszona przez wszy
A68.1,Gorączka powrotna przenoszona przez kleszcze
A68.9,Gorączka powrotna, nieokreślona
A69.0,Wrzodziejąco-martwicze zapalenie jamy ustnej
A69.1,Inne zakażenia Vincenta
A69.2,Choroba z Lyme
A69.8,Inne określone zakażenia wywołane przez krętki
A69.9,Inne zakażenia wywołne przez krętki, nieokreślone
A70,Zakażenia Chlamydia psittaci
A71.0,Okres początkowy, wstępny jaglicy
A71.1,Jaglica czynna
A71.9,Jaglica, nieokreślona
A74.0,Zapalenie spojówek wywołane przez Chlamydie (H13.1*)
A74.8,Inne choroby wywołane przez Chlamydie
A74.9,Zakażenia wywołane przez Chlamydie, nieokreślone
A75.0,Dur wysypkowy epidemiczny przenoszony przez wszy wywołany przez Rickettsia prowazekii
A75.1,Dur wysypkowy nawrotowy [Choroba Brilla]
A75.2,Dur wysypkowy wywołany przez Rickettsia typhi
A75.3,Dur wysypkowy wywołany przez Rickettsia tsutsugamushi
A75.9,Dur wysypkowy, nieokreślony
A77.0,Gorączka plamista wywołana przez Rickettsia rickettsii
A77.1,Gorączka plamista wywołana przez Rickettsia conorii
A77.2,Dur plamisty wywołany przez Rickettsia siberica
A77.3,Dur plamisty wywołany przez Rickettsia australis
A77.8,Inne dury plamiste
A77.9,Dur plamisty, nieokreślony
A78,Gorączka Q
A79.0,Gorączka wołyńska [okopowa]
A79.1,Ospa riketsjowa wywołana przez Rickettsia akari
A79.8,Inne określone riketsjozy
A79.9,Riketsjoza, nieokreślona
A80.0,Ostre nagminne porażenie poszczepienne
A80.1,Ostre nagminne porażenie dziecięce, wirus dziki, importowany
A80.2,Ostre nagminne porażenie dziecięce, wirus dziki, tubylczy
A80.3,Inne i nieokreślone postacie ostrego nagminnego porażenia dziecięcego,
A80.4,Ostre nagminne porażenie dziecięce - postać nieporażenna
A80.9,Ostre nagminne porażenie dziecięce, nieokreślone
A81.0,Choroba Jacoba-Creutzfeldta
A81.1,Podostre stwardniające zapalenie mózgu
A81.2,Postępująca wieloogniskowa leukoencefalopatia
A81.8,Inne zakażenia powolnymi wirusami ośrodkowego układu nerwowego
A81.9,Zakażenia powolnymi wirusami ośrodkowego układu nerwowego, nieokreślone
A82.0,Wścieklizna leśna
A82.1,Wścieklizna miejska
A82.9,Wścieklizna, nieokreślona
A83.0,Japońskie zapalenie mózgu
A83.1,Zachodnie końskie zapalenie mózgu
A83.2,Wschodnie końskie zapalenie mózgu
A83.3,Zapalenie mózgu St.Louis
A83.4,Australijskie zapalenie mózgu
A83.5,Kalifornijskie zapalenie mózgu
A83.6,Choroba wywołana przez wirus Rocio
A83.8,Inne wirusowe zapalenia mózgu przenoszone przez komary
A83.9,Wirusowe zapalenie mózgu przenoszone przez komary, nieokreślone
A84.0,Dalekowschodnie zapalenie mózgu przenoszone przez kleszcze [rosyjskie wiosenno-letnie zapalenie mózgu]
A84.1,Środkowoeuropejskie zapalenie mózgu przenoszone przez kleszcze
A84.8,Inne zapalenia mózgu przenoszone przez kleszcze
A84.9,Wirusowe zapalenie mózgu przenoszone przez kleszcze, nieokreślone
A85.0,Enterowirusowe zapalenie mózgu (G05.1*)
A85.1,Adenowirusowe zapalenie mózgu (G05.1*)
A85.2,Wirusowe zapalenie mózgu wywołane przez stawonogi, nieokreślone
A85.8,Inne określone postacie wirusowego zapalenia mózgu
A86,Wirusowe zapalenie mózgu, nieokreślone
A87.0,Enterowirusowe zapalenie opon mózgowych (G02.0*)
A87.1,Adenowirusowe zapalenie opon mózgowych (G02.0*)
A87.2,Limfocytarne zapalenie splotu naczyniówkowego i opon mózgowych
A87.8,Inne wirusowe postacie zapalenia opon mózgowych
A87.9,Wirusowe zapalenie opon mózgowych, nieokreślone
A88.0,Enterowirusowa gorączka wysypkowa [wysypka bostońska]
A88.1,Epidemiczne zawroty głowy (vertigo)
A88.8,Inne określone postacie wirusowych zakażeń ośrodkowego układu nerwowego
A89,Wirusowe zakażenie ośrodkowego układu nerwowego, nieokreślone
A90,Goączka denga [denga klasyczna]
A91,Gorączka krwotoczna denga
A92.0,Choroba wywołana przez wirus Chikungunya
A92.1,Gorączka o`nyong-nyong
A92.2,Wenezuelska gorączka końska
A92.3,Gorączka Zachodniego Nilu
A92.4,Gorączka Doliny Riftu
A92.8,Inne określone postacie gorączek wirusowych przenoszonych przez komary
A92.9,Gorączka wirusowa przenoszona przez komary, nieokreślona
A93.0,Choroba wywołana przez wirus Oropouche
A93.1,Gorączka wywołana przez moskita (muchę piaskową) Phlebotomus
A93.2,Gorączka kleszczowa Colorado
A93.8,Inne określone postacie gorączek wirusowych przenoszonych przez stawonogi
A94,Gorączki wirusowe przenoszone przez stawonogi, nieokreślone
A95.0,Leśna żółta gorączka
A95.1,Żółta gorączka, postać miejska
A95.9,Żółta gorączka, nieokreślona
A96.0,Gorączka krwotoczna Junin
A96.1,Gorączka krwotoczna Machupo
A96.2,Gorączka Lassa
A96.8,Inne arenowirusowe gorączki krwotoczne
A96.9,Gorączka krwotoczna arenawirusowa, nieokreślona
A98.0,Gorączka krwotoczna krymsko-kongijska
A98.1,Gorączka krwotoczna omska
A98.2,Choroba lasu Kyasanur
A98.3,Choroba wywołana przez wirus Marburg
A98.4,Choroba wywołana przez wirus Ebola
A98.5,Gorączka krwotoczna z zespołem nerkowym
A98.8,Inne określone postacie wirusowych gorączek krwotocznych
A99,Nieokreślona wirusowa gorączka krwotoczna
B00.0,Wyprysk opryszczkowy [eczema herpeticum]
B00.1,Opryszczkowe pęcherzykowe zapalenie skóry
B00.2,Opryszczkowe zapalenie dziąseł i jamy ustnej oraz gardła i migdałków
B00.3,Opryszczkowe zapalenie opon mózgowych (G02.0*)
B00.4,Opryszczkowe zapalenie mózgu (G05.1*)
B00.5,Opryszczkowa choroba gałki ocznej
B00.7,Rozsiana opryszczka pospolita
B00.8,Inne postacie zakażenia wirusem opryszczki
B00.9,Zakażenie opryszczkowe, nieokreślone
B01.0,Zapalenie opon mózgowych w ospie wietrznej (G02.2*)
B01.1,Zapalenie mózgu w ospie wietrznej (G05.1*)
B01.2,Zapalenie płuc w ospie wietrznej (J17.1*)
B01.8,Ospa wietrzna z innymi powikłaniami
B01.9,Ospa wietrzna bez powikłań
B02.0,Zapalenie mózgu w półpaścu (G05.1*)
B02.1,Zapalenie opon mózgowych w półpaścu (G02.0*)
B02.2,Półpasiec z zajęciem innych części układu nerwowego
B02.3,Półpaścowa choroba gałki ocznej
B02.7,Półpasiec rozsiany
B02.8,Półpasiec z innymi powikłaniami
B02.9,Półpasiec bez powikłań
B03,Ospa prawdziwa
B04,Ospa małpia
B05.0,Odra powikłana przez zapalenie mózgu (G05.1*)
B05.1,Odra powikłana przez zapalenie opon mózgowych (G02.0*)
B05.2,Odra powikłana przez zapalenie płuc (J17.1*)
B05.3,Odra powikłana przez zapalenie ucha środkowego (H67.1*)
B05.4,Odra z powikłaniami jelitowymi
B05.8,Odra z innymi powikłaniami
B05.9,Odra bez powikłań
B06.0,Różyczka z powikłaniami neurologicznymi
B06.8,Różyczka z innymi powikłaniami
B06.9,Różyczka bez powikłań
B07,Brodawki wirusowe
B08.0,Inne zakażenia wywołane przez wirus z grupy orthopox
B08.1,Mięczak zakaźny
B08.2,Rumień nagły [choroba szósta]
B08.3,Rumień zakaźny [choroba piąta]
B08.4,Enterowirusowe pęcherzykowe zapalenie jamy ustnej z wypryskiem
B08.5,Enterowirusowe pęcherzykowe zapalenie gardła
B08.8,Inne określone zakażenia wirusowe charakteryzujące się uszkodzeniem skóry i błon śluzowych
B09,Nieokreślone zakażenia wirusowe charakteryzujące się uszkodzeniem skóry i błon śluzowych
B15.0,Wirusowe zapalenie wątroby A ze śpiączką wątrobową
B15.9,Wirusowe zapalenie wątroby a bez śpiączki wątrobowej
B16.0,Ostre wirusowe zapalenie wątroby B z nadkażeniem wirusem delta ze śpiączką wątrobową
B16.1,Ostre wirusowe zapalenie wątroby B z nadkażeniem wirusem delta bez śpiączki wątrobowej
B16.2,Ostre wirusowe zapalenie wątroby B bez nadkażenia wirusem delta ze śpiączką wątrobową
B16.9,Ostre wirusowe zapalenie wątroby B bez nadkażenia wirusem delta i bez śpiączki wątrobowej
B17.0,Ostre (nad)każenie wirusem delta u nosiciela wirusa zapalenia wątroby B
B17.1,Ostre wirusowe zapalenie wątroby C
B17.2,Ostre wirusowe zapalenie wątroby E
B17.8,Inne określone ostre wirusowe zapalenia wątroby
B18.0,Przewlekłe wirusowe zapalenie wątroby B z wirusem delta
B18.1,Przewlekłe wirusowe zapalenie wątroby B bez wirusa delta
B18.2,Przewlekłe wirusowe zapalenie wątroby C
B18.8,Inne przewlekłe wirusowe zapalenia wątroby
B18.9,Przewlekłe zapalenie wątroby, nieokreślone
B19.0,Nieokreślone wirusowe zapalenie wątroby ze śpiączką wątrobową
B19.9,Nieokreślone wirusowe zapalenie wątroby bez śpiączki wątrobowej
B20.0,Choroba wywołana przez HIV, której skutkiem są zakażenia wywołane przez mykobakterie
B20.1,Choroba wywołana przez HIV, której skutkiem są inne zakażenia bakteryjne
B20.2,Choroba wywołana przez HIV, której skutkiem jest cytomegalia
B20.3,Choroba wywołana przez HIV, której skutkiem są inne zakażenia wirusowe
B20.4,Choroba wywołana przez HIV, której skutkiem jest kandydoza
B20.5,Choroba wywołana przez HIV, której skutkiem są inne grzybice
B20.6,Choroba wywołana przez HIV, której skutkiem jest zapalenie płuc wywołane przez Pneumocystis carinii
B20.7,Choroba wywołana przez HIV, której skutkiem są zakażenia mnogie
B20.8,Choroba wywołana przez HIV, której skutkiem są inne choroby zakaźne i pasożytnicze
B20.9,Choroba wywołana przez HIV, której skutkiem są inne choroby zakaźne i pasożytnicze, nieokreślone
B21.0,Choroba wywołana przez HIV, której skutkiem jest mięsak Kaposiego
B21.1,Choroba wywołana przez HIV, której skutkiem jest chłoniak Burkitta
B21.2,Choroba wywołana przez HIV, której skutkiem są inne typy chłoniaków nie-Hodgkin`owskich (nieziarniczych)
B21.3,Choroba wywołana przez HIV, której skutkiem są inne nowotwory złośliwe tkanki limfatycznej, układu krwiotwórczego i pokrewnych tkanek
B21.7,Choroba wywołana przez HIV, której skutkiem są mnogie nowotwory złośliwe
B21.8,Choroba wywołana przez HIV, której skutkiem są inne nowotwory złośliwe
B21.9,Choroba wywołana przez HIV, której skutkiem są nowotwory złośliwe, nieokreślone
B22.0,Choroba wywołana przez HIV, której skutkiem jest encefalopatia
B22.1,Choroba wywołana przez HIV, której skutkiem jest limfoidalne śródmiąższowe zapalenie płuc
B22.2,Choroba wywołana przez HIV, której skutkiem jest zespół wyczerpania
B22.7,Choroba wywołana przez HIV, której skutkiem są mnogie choroby sklasyfikowane gdzie indziej
B23.0,Ostry zespół zakażenia HIV
B23.1,Choroba wywołana przez HIV, której skutkiem jest (trwała) uogólniona limfadenopatia
B23.2,Choroba wywołana przez HIV, której skutkiem są zaburzenia układu krwiotwórczego i odpornościowego niesklasyfikowane gdzie indziej
B23.8,Choroba wywołana przez HIV, której skutkiem są inne określone stany
B24,Choroba wywołana przez ludzki wirus upośledzenia odporności [HIV], nieokreślona
B25.0,Cytomegalowirusowe zapalenie płuc (J17.1*)
B25.1,Cytomegalowirusowe zapalenie wątroby (K77.0*)
B25.2,Cytomegalowirusowe zapalenie trzustki (K87.1*)
B25.8,Inne choroby wywołane przez wirusa cytomegalii
B25.9,Choroba wywołana przez wirusa cytomegalii, nieokreślona
B26.0,Świnkowe zapalenie jądra (N51.1*)
B26.1,Świnkowe zapalenie opon mózgowych (G02.0*)
B26.2,Świnkowe zapalenie mózgu (G05.1*)
B26.3,Świnkowe zapalenie trzustki (K87.1*)
B26.8,Świnka z innymi powikłaniami
B26.9,Świnka bez komplikacji
B27.0,Mononukleoza wywołana przez wirusa opryszczki typ gamma
B27.1,Mononukleoza cytomegalowirusowa
B27.8,Inne postacie mononukleozy zakaźnej
B27.9,Mononukleoza zakaźna, nieokreślona
B30.0,Zapalenie rogówki i spojówki wywołane przez adenowirusy (H19.2*)
B30.1,Zapalenie spojówek wywołane przez adenowirusy (H13.1*)
B30.2,Wirusowe zapalenie gardła i spojówek
B30.3,Ostre nagminne krwotoczne zapalenie spojówek enterowirusowe (H13.1*)
B30.8,Inne wirusowe zapalenia spojówek (H13.1*)
B30.9,Wirusowe zapalenie spojówek, nieokreślone
B33.0,Nagminne zapalenie mięśni (nagminna pleurodynia)
B33.1,Choroba Ross River
B33.2,Wirusowe zapalenie serca
B33.3,Zakażenia retrowirusowe niesklasyfikowane gdzie indziej
B33.8,Inne określone choroby wirusowe
B34.0,Zakażenia adenowirusowe, nieokreślone
B34.1,Zakażenia enterowirusowe, nieokreślone
