A01, Badania laboratoryjne i inne -> Analityka -> Badanie ogólne moczu (profil)
E64, Badania laboratoryjne i inne -> Serologia grup krwi -> Diagnostyka niedokrwistości autoimmunohemolitycznej
E65, Badania laboratoryjne i inne -> Serologia grup krwi -> Oznaczenie grupy krwi układu ABO i Rh
F01, Badania laboratoryjne i inne -> Wirusologia -> Adenovirus Antygen
F03, Badania laboratoryjne i inne -> Wirusologia -> Adenovirus Przeciwciała IgA (anty-Adenovirus IgA)
F05, Badania laboratoryjne i inne -> Wirusologia -> Adenovirus Przeciwciała IgG (anty-Adenovirus IgG)
F07, Badania laboratoryjne i inne -> Wirusologia -> Adenovirus Przeciwciała IgM (anty-Adenovirus IgM)
F09, Badania laboratoryjne i inne -> Wirusologia -> Adenovirus IgG/ IgM Przeciwciała (anty-Adenovirus IgG/ IgM)
F11, Badania laboratoryjne i inne -> Wirusologia -> Astrovirus Antygen
F13, Badania laboratoryjne i inne -> Wirusologia -> Bunyavirus IgG/ IgM Przeciwciała
F15, Badania laboratoryjne i inne -> Wirusologia -> Cytomegalovirus (CMV) Antygen pp65
F17, Badania laboratoryjne i inne -> Wirusologia -> Cytomegalovirus (CMV) Przeciwciała IgA (anty-Cytomegalovirus IgA)
F19, Badania laboratoryjne i inne -> Wirusologia -> Cytomegalovirus (CMV) Przeciwciała IgG (anty-Cytomegalovirus IgG)
F21, Badania laboratoryjne i inne -> Wirusologia -> Cytomegalovirus (CMV) Przeciwciała IgG - test potwierdzenia
F22, Badania laboratoryjne i inne -> Wirusologia -> Cytomegalovirus (CMV) Przeciwciała IgG - Awidność
F23, Badania laboratoryjne i inne -> Wirusologia -> Cytomegalovirus (CMV) Przeciwciała IgM (anty-Cytomegalovirus IgM)
F24, Badania laboratoryjne i inne -> Wirusologia -> Cytomegalovirus (CMV) Przeciwciała IgM - test potwierdzenia
F25, Badania laboratoryjne i inne -> Wirusologia -> Cytomegalovirus (CMV) Przeciwciała IgG/ IgM
F26, Badania laboratoryjne i inne -> Wirusologia -> Cytomegalovirus (CMV) DNA
F27, Badania laboratoryjne i inne -> Wirusologia -> Enterovirus Przeciwciała IgA (anty-Enterovirus IgA)
F28, Badania laboratoryjne i inne -> Wirusologia -> Enterovirus Przeciwciała IgM (anty-Enterovirus IgM)
F29, Badania laboratoryjne i inne -> Wirusologia -> Enterovirus IgG Przeciwciała (anty-Enterovirus IgG)
F30, Badania laboratoryjne i inne -> Wirusologia -> HTLV1 Antygen
F31, Badania laboratoryjne i inne -> Wirusologia -> HTLV 1/2 Antygen
F32, Badania laboratoryjne i inne -> Wirusologia -> HTLV 1/2 Przeciwciała
F33, Badania laboratoryjne i inne -> Wirusologia -> Parvovirus B19 Przeciwciała IgG (anty-Parvovirus IgG)
F34, Badania laboratoryjne i inne -> Wirusologia -> Parvovirus B19 Przeciwciała IgM (anty-Parvovirus IgM)
F35, Badania laboratoryjne i inne -> Wirusologia -> Parvovirus B19 IgG/ IgM Przeciwciała
F36, Badania laboratoryjne i inne -> Wirusologia -> Rotavirus Antygen
F37, Badania laboratoryjne i inne -> Wirusologia -> Rotavirus/ Adenovirus Antygen
F38, Badania laboratoryjne i inne -> Wirusologia -> Wirus brodawczaka ludzkiego (HPV) HPV-DNA
F39, Badania laboratoryjne i inne -> Wirusologia -> Wirus Dengue Przeciwciała IgG (anty-Dengue IgG)
F40, Badania laboratoryjne i inne -> Wirusologia -> Wirus Dengue Przeciwciała IgM (anty-Dengue IgM)
F41, Badania laboratoryjne i inne -> Wirusologia -> Wirus Dengue Przeciwciała IgG/ IgM (anty-Dengue IgG/ IgM)
F42, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgG (anty-Epstein-Barr (EA) IgG
F43, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgM (anty-Epstein-Barr (EA) IgM
F44, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgA (anty Epstein-Barr (EBNA) IgA
F45, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgG (anty-Epstein-Barr (EBNA) IgG
F46, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgM (anty-Epstein-Barr (EBNA) IgM
F47, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgA (anty-Epstein-Barr (VCA) IgA
F48, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgG (anty-Epstein-Barr (VCA) IgG
F49, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgG (anty-Epstein-Barr (VCA) IgG (ilościowy)
F50, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgM (anty-Epstein-Barr (VCA) IgM
F51, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgG/ IgM (anty-Epstein-Barr IgG/ IgM)
F52, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgA/ IgM
F53, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr IgG Przeciwciała
F54, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgG - test potwierdzenia
F55, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała heterofilne
F56, Badania laboratoryjne i inne -> Wirusologia -> Wirus Epstein Barr Przeciwciała IgM
F57, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 1 Przeciwciała IgA (anty-Herpes Simpl. V. 1 IgA)
F58, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 1 Przeciwciała IgG
F59, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 1 Przeciwciała IgG (ilościowo)
F60, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 1 Przeciwciała IgM
F61, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 1 Przeciwciała IgM (ilościowo)
F62, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 1 Przeciwciała IgG/ IgM (anty-Herpes Simpl. V. 1 IgG/ IgM)
F63, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 1/2 Przeciwciała IgA (anty-Herpes Simpl. V. 1/2 IgA)
F64, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 1/2 IgG Przeciwciała (anty-Herpes Simpl. V. 1/2 IgG)
F65, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 1/2 Przeciwciała IgM (anty-Herpes Simpl. V. 1/2 IgM)
F66, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 2 Przeciwciała IgG (anty-Herpes Simpl. V. 2 IgG)
F67, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 2 Przeciwciała IgG (anty-Herpes Simpl. V. 2 IgG) (ilościowo)
F68, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 2 Przeciwciała IgA (anty-Herpes Simpl. V. 2 IgA)
F69, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 2 Przeciwciała IgM
F70, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 2 Przeciwciała IgM (ilościowo)
F71, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 2 Przeciwciała IgG/ IgM (anty-Herpes Simpl. V. 2 IgG/ IgM)
F72, Badania laboratoryjne i inne -> Wirusologia -> Wirus Herpes Simplex typu 1/2 Przeciwciała IgG/ IgM screening (anty-Herpes Simpl. V. 1/2 IgG/ IgM)
F73, Badania laboratoryjne i inne -> Wirusologia -> Wirus Influenza A Antygen
F74, Badania laboratoryjne i inne -> Wirusologia -> Wirus Influenza A Przeciwciała IgA (anty-Influenza IgA)
F75, Badania laboratoryjne i inne -> Wirusologia -> Wirus Influenza A Przeciwciała IgG (anty-Influenza IgG)
F76, Badania laboratoryjne i inne -> Wirusologia -> Wirus Influenza A Przeciwciała IgM (anty-Influenza IgM)
F77, Badania laboratoryjne i inne -> Wirusologia -> Wirus Influenza A Przeciwciała IgG/ IgM (anty-Influenza IgG/ IgM)
F78, Badania laboratoryjne i inne -> Wirusologia -> Wirus Influenza B Antygen
F79, Badania laboratoryjne i inne -> Wirusologia -> Wirus Influenza B Przeciwciała IgA (anty-Influenza IgA)
F80, Badania laboratoryjne i inne -> Wirusologia -> Wirus Influenza B Przeciwciała IgG (anty-Influenza IgG)
F81, Badania laboratoryjne i inne -> Wirusologia -> Wirus Influenza B Przeciwciała IgM (anty-Influenza IgM)
F82, Badania laboratoryjne i inne -> Wirusologia -> Wirus Influenza B Przeciwciała IgG/ IgM (anty-Influenza IgG/ IgM)
F83, Badania laboratoryjne i inne -> Wirusologia -> Wirus Influenza, Parainfluenzy, Adenowirus Antygen
F84, Badania laboratoryjne i inne -> Wirusologia -> Wirus kleszczowego zapalenia mózgu (TBE) IgG (anty-TBE virus IgG)
F85, Badania laboratoryjne i inne -> Wirusologia -> Wirus kleszczowego zapalenia mózgu (TBE) IgM (anty-TBE virus IgM)
F86, Badania laboratoryjne i inne -> Wirusologia -> Wirus kleszczowego zapalenia mózgu (TBE) IgG/ IgM (anty-TBE virus IgG/ IgM)
F87, Badania laboratoryjne i inne -> Wirusologia -> Wirus/ przeciwciała nabytego niedoboru odporności (HIV) Antygen p24
F88, Badania laboratoryjne i inne -> Wirusologia -> Wirus/ przeciwciała nabytego niedoboru odporności (HIV) Antygen (ilościowo)
F89, Badania laboratoryjne i inne -> Wirusologia -> Wirus/ przeciwciała nabytego niedoboru odporności (HIV) Przeciwciała całkowite
F90, Badania laboratoryjne i inne -> Wirusologia -> Wirus/ przeciwciała nabytego niedoboru odporności (HIV) Przeciwciała (test potwierdzający)
F91, Badania laboratoryjne i inne -> Wirusologia -> Wirus/ przeciwciała nabytego niedoboru odporności (HIV) Antygen/ Przeciwciała
F92, Badania laboratoryjne i inne -> Wirusologia -> Wirus/ przeciwciała nabytego niedoboru odporności (HIV) RNA / DNA
F93, Badania laboratoryjne i inne -> Wirusologia -> Wirus nagnminnego zapalenia ślinianek przyusznych IgM (anty-Rubulavirus Antygen M) (Rubulavirus)
F94, Badania laboratoryjne i inne -> Wirusologia -> Wirus nagnminnego zapalenia ślinianek przyusznych (Rubulavirus) IgG (anty-Rubulavirus IgG)
F95, Badania laboratoryjne i inne -> Wirusologia -> Wirus nagminnego zapalenia ślinianek przyusznych (Rubulavirus) Przeciwciała IgG/ IgM (anty-Rubulavirus IgG/ IgM)
F96, Badania laboratoryjne i inne -> Wirusologia -> Wirus Odry (Morbillivirus) Przeciwciała IgG (anty-Morbillivirus IgG)
F97, Badania laboratoryjne i inne -> Wirusologia -> Wirus Odry (Morbillivirus) Przeciwciała IgM (anty-Morbillivirus IgM)
F98, Badania laboratoryjne i inne -> Wirusologia -> Wirus Parainfluenzy typ 1 Przeciwciała IgG
F99, Badania laboratoryjne i inne -> Wirusologia -> Wirus Parainfluenzy typ 1 Przeciwciała IgG/ IgM (anty-Parainfluenza 1 IgG/ IgM)
G01, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> α-2-antyplazmina
G03, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Antytrombina III (AT III)
G05, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Białko C
G07, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Białko S
G09, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czas częściowej tromboplastyny (PTT)
G11, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czas częściowej tromboplastyny po aktywacji (APTT)
G13, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czas fibrynolizy (lizy skrzepu euglobulin)
G15, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czas krwawienia
G17, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czas krzepnięcia osocza po uwapnieniu
G19, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czas krzepnięcia pełnej krwi
G21, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czas protrombinowy (PT)
G23, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czas reptylazowy (RT)
G25, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czas trombinowy (TT)
G26, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik krzepnięcia II (FII)
G28, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik krzepnięcia IXAg (FIXAg)
G29, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik krzepnięcia V (FV)
G31, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik krzepnięcia VII (FVII)
G33, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik krzepnięcia VIII (FVIII)
G34, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik krzepnięcia VIII Ag (FVIIIAg)
G35, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik krzepnięcia VIII - podjednostki
G37, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik krzepnięcia X (FX)
G39, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik krzepnięcia XI (FXI)
G41, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik krzepnięcia XII (FXII)
G43, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik krzepnięcia XIII (FXIII)
G45, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik płytkowy 4
G47, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Czynnik von Willebranda (vWF)
G49, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> D-Dimer
G53, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Fibrynogen (FIBR)
G55, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Fibrynopeptyd A (FIBP A)
G57, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Fibrynopeptyd B (FIBP B)
G59, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Fragmenty protrombiny 1 i 2
G61, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Heparyna
G63, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Heparyna niskocząsteczkowa
G65, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Inhibitor aktywatora plazminogenu 1 (PAI1)
G67, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Inhibitor aktywatora plazminogenu 2 (PAI2)
G68, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Miedź (Cu)
G69, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Inhibitory krzepnięcia
G70, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Oznaczenie aktywności czynnika IX
G71, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Kininogen (120000) (HMWK)
G73, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Kompleks trombina/ antytrombina III (TAT)
G75, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Monomery fibryny
G77, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Produkty degradacji fibryny (FDP)
G79, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Plazminogen
G81, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Prekalikreina
G83, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Tkankowy aktywator plazminogenu (TPA)
G85, Badania laboratoryjne i inne -> Badania układu krzepnięcia -> Tromboelastogram
I01, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Acetooctan
I03, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Acylotransferaza lecytyna-cholesterol (LCAT)
I05, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Adrenalina
I07, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Aktywność reninowa osocza (ARO)
I09, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Albumina
I11, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Albumina glikowana
I13, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Aldolaza
I15, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Aldosteron
I17, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Aminotransferaza alaninowa (ALT)
I19, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Aminotransferaza asparaginianowa (AST)
I21, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Aminotransferaza asparaginianowa mitochondrialna
I23, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Amoniak
I25, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Amylaza
I27, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Amylaza trzustkowa
I29, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Amyloid
I31, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Androstendion
I33, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Androsteron
I34, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Angiotensyna I
I35, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Angiotensyna II
I37, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Anhydraza węglanowa
I39, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> α-1-Antychymotrypsyna (ACT)
I41, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Antygen CA 125 (CA125)
I43, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Antygen CA 15-3 (CA15-3)
I45, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Antygen CA 19-9 (CA19-9)
I47, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Antygen CA 549
I49, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Antygen CA 72-4 (CA72-4)
I51, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Antygen CYFRA 21-1
I53, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Antygen karcynoembrionalny (CEA)
I55, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Antygen polipeptydowy (TPA)
I57, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Antygen polipeptydowy swoisty (TPS)
I59, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Antygen raka płaskonabłonkowego (SCC)
I61, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Antygen swoisty dla stercza (PSA) całkowity
I63, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Antygen swoisty dla stercza (PSA) wolny
I65, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> α-1-Antytrypsyna
I67, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Apolipoproteina B
I69, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Apolipoproteina E, izotypy
I71, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Apolipoproteina AI
I73, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Apolipoproteina AII
I74, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Apolipoproteina E, fenotyp
I75, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Arginaza
I77, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Białko całkowite
I79, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Białko całkowite, rozdział elektroforetyczny
I81, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Białko C-reaktywne (CRP)
I82, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Białko S-100
I83, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Białko wiążące hormony płciowe (SHBP)
I84, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Białko PAPP-A – osoczowe białko ciążowe A
I85, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Białko wiążące retinol (RBP)
I86, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Białko – immunofiksacja
I87, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Bilirubina bezpośrednia
I89, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Bilirubina całkowita
I90, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Bilirubina delta
I91, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Bilirubina pośrednia
I93, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Biotynidaza
I95, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Ceruloplazmina
I97, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Chlorek(Cl)
I99, Badania laboratoryjne i inne -> Chemia kliniczna 1 -> Cholesterol całkowity
J41, Badania laboratoryjne i inne -> Badania immunohematologiczne -> HLA B27
K01, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Cholesterol HDL
K03, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Cholesterol LDL
K05, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Cholesterol wolny
K07, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Cholesterol, estry
K09, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Chymotrypsyna
K11, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> CO<MV>2 całkowity
K12, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> CRF (czynnik uwaniający kortykotropinę)
K13, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Cykliczny AMP (cAMP)
K15, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Cynk (Zn)
K16, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Cystatyna C
K17, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Cysteina
K19, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Cystyna
K21, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Czynnik reumatoidalny (RF)
K23, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dehydrataza δ-aminolewulinianu
